z,T
5.0,300.20042840679696
15.0,300.18231178592646
25.0,300.1680770470176
35.0,300.1581278983053
45.0,300.151308193663
55.0,300.1464355359454
65.0,300.1427392526465
75.0,300.13978381463045
85.0,300.1373456959418
95.0,300.1352811850021
105.0,300.13348991358725
115.0,300.1319033347327
125.0,300.13050647937587
135.0,300.12927447677964
145.0,300.1281742699312
155.0,300.1271833823161
165.0,300.12628878357367
175.0,300.1254889341982
185.0,300.1247812184561
195.0,300.1241467547136
205.0,300.1235683878938
215.0,300.1230415954278
225.0,300.1225767725537
235.0,300.12215897431236
245.0,300.12178147630476
255.0,300.1214406877445
265.0,300.1211292358875
275.0,300.1208415329292
285.0,300.1205813402074
295.0,300.1203548958376
305.0,300.12015991910965
315.0,300.11999351605573
325.0,300.1198484045308
335.0,300.1197257832908
345.0,300.11962969390703
355.0,300.1195445853331
365.0,300.119466433603
375.0,300.1194056083496
385.0,300.1193602461171
395.0,300.11933934913634
405.0,300.11935329701254
415.0,300.1193892455765
425.0,300.1194585120285
435.0,300.11956503396334
445.0,300.1197026145248
455.0,300.1198658245824
465.0,300.1200638406391
475.0,300.12029918156486
485.0,300.12058831718247
495.0,300.12094451360366
505.0,300.12136594575645
515.0,300.121846345086
525.0,300.1223823997271
535.0,300.12297652282894
545.0,300.1236358923769
555.0,300.1243707490395
565.0,300.12519411028654
575.0,300.126130379085
585.0,300.1272027313102
595.0,300.1284843568276
605.0,300.1300308594075
615.0,300.1318490356587
625.0,300.13398187277056
635.0,300.13652866423075
645.0,300.1396270438804
655.0,300.1434515983505
665.0,300.1482795887996
675.0,300.1544855532316
685.0,300.1627115646676
695.0,300.17388772077874
705.0,300.1893239227152
715.0,300.21176383865156
725.0,300.24600022025055
735.0,300.30032820046864
745.0,300.39168974487643
755.0,300.55102983196184
765.0,300.83545765963134
775.0,301.32698470580124
785.0,302.0832696707118
795.0,303.0657964600723
805.0,304.1395730867371
815.0,305.16835500871315
825.0,306.07374616724786
835.0,306.8205751402488
845.0,307.3925008420368
855.0,307.7804323181354
865.0,307.993877264039
875.0,308.0822118949685
885.0,308.1148168207363
895.0,308.136103136788
905.0,308.16127863585166
915.0,308.19183085369065
925.0,308.22427295765914
935.0,308.2556772503099
945.0,308.28570216106465
955.0,308.3152923915998
965.0,308.34510293216306
975.0,308.3751372824904
985.0,308.4051952664539
995.0,308.43519501944724
1005.0,308.46516718480984
1015.0,308.4951412006716
1025.0,308.5251215412751
1035.0,308.5551028582279
1045.0,308.5850857085464
1055.0,308.6150718918219
1065.0,308.6450617781259
1075.0,308.6750549525143
1085.0,308.7050496226217
1095.0,308.7350444812189
1105.0,308.76503562900655
1115.0,308.79502320184434
1125.0,308.8250071646999
1135.0,308.8549912019703
1145.0,308.88497605219135
1155.0,308.91496454211665
1165.0,308.9449558287871
1175.0,308.9749519178253
1185.0,309.0049503510577
1195.0,309.0349508297805
1205.0,309.0649504288489
1215.0,309.09495029988614
1225.0,309.1249497181183
1235.0,309.15495048185346
1245.0,309.1849513665129
1255.0,309.214953430363
1265.0,309.24495498357953
1275.0,309.2749569176138
1285.0,309.30495848251235
1295.0,309.3349620415462
1305.0,309.3649668204795
1315.0,309.3949742341617
1325.0,309.4249822494705
1335.0,309.454992158122
1345.0,309.4850007615318
1355.0,309.5150087828906
1365.0,309.54501424308864
1375.0,309.5750202832366
1385.0,309.6050250018101
1395.0,309.6350302216334
1405.0,309.6650337060804
1415.0,309.69503858738364
1425.0,309.72504251972003
1435.0,309.7550472630428
1445.0,309.78505073116304
1455.0,309.81505623641675
1465.0,309.84506143002665
1475.0,309.8750683109634
1485.0,309.90507407369466
1495.0,309.9350823544724
1505.0,309.9650902073201
1515.0,309.9950998741523
1525.0,310.0251081263178
1535.0,310.05511801542946
1545.0,310.0851257782671
1555.0,310.1151326740487
1565.0,310.14513482480754
1575.0,310.1751352986757
1585.0,310.20513159550563
1595.0,310.23512633736647
1605.0,310.265117541631
1615.0,310.295108400593
1625.0,310.32509635696533
1635.0,310.35508301500164
1645.0,310.38506513302855
1655.0,310.4150454715833
1665.0,310.44502120075174
1675.0,310.4749951802644
1685.0,310.5049655660034
1695.0,310.53493664869825
1705.0,310.5649060946019
1715.0,310.5948760986574
1725.0,310.62484289964146
1735.0,310.6548088491134
1745.0,310.684770345171
1755.0,310.7147295507476
1765.0,310.74468480267063
1775.0,310.7746413042807
1785.0,310.8045989492865
1795.0,310.8345620345684
1805.0,310.8645287275321
1815.0,310.8945016498565
1825.0,310.9244740689068
1835.0,310.9544462994942
1845.0,310.98442458004956
1855.0,311.0144326408499
1865.0,311.0444516681469
1875.0,311.0743861967383
1885.0,311.1041954701979
1895.0,311.1343015366971
1905.0,311.1653581637608
1915.0,311.1949145506767
