z,TI_TKE
5.0,0.08661644883720836
15.0,0.09069536924433172
25.0,0.0841184244533291
35.0,0.07823792230056942
45.0,0.07344962954233178
55.0,0.06978984938351765
65.0,0.06694328475956864
75.0,0.06460990292775506
85.0,0.06261311636248137
95.0,0.06086289366029827
105.0,0.059319765280542384
115.0,0.057948149712997596
125.0,0.05672909058900859
135.0,0.055625754491172914
145.0,0.05461686526808692
155.0,0.053692826957768544
165.0,0.052842124572499864
175.0,0.05204306960323135
185.0,0.05128190219253579
195.0,0.05055865806711519
205.0,0.04987236548032172
215.0,0.04922170010148316
225.0,0.048596134430354695
235.0,0.047991488774160256
245.0,0.04740391781574471
255.0,0.04683093028824195
265.0,0.04627115743834909
275.0,0.04573021370090458
285.0,0.04520592474066828
295.0,0.044703078496284424
305.0,0.04422982433414488
315.0,0.04377668238577013
325.0,0.04333358538756282
335.0,0.04289440389690697
345.0,0.042471661729389286
355.0,0.04207540081968883
365.0,0.04170776654699374
375.0,0.04135740922106606
385.0,0.0410145779161892
395.0,0.04067337191562944
405.0,0.0403309290584241
415.0,0.03998961373863228
425.0,0.03964836026872491
435.0,0.03931253042251519
445.0,0.03898861158687153
455.0,0.038681551037072666
465.0,0.038387725751943824
475.0,0.03810563624661346
485.0,0.03783280421707798
495.0,0.037563736246178724
505.0,0.03729378451239678
515.0,0.03702657377212924
525.0,0.03676637272612208
535.0,0.03650973941211787
545.0,0.03625290030867489
555.0,0.0359983541432217
565.0,0.03574512558491823
575.0,0.03548928481169542
585.0,0.03522319980232092
595.0,0.03493679864233862
605.0,0.03461943129664981
615.0,0.03426289238276686
625.0,0.033852448475722226
635.0,0.033376924210663274
645.0,0.03281600569325306
655.0,0.03216232558740326
665.0,0.03143294609379839
675.0,0.030614398173489023
685.0,0.029689579600665848
695.0,0.02866880566158215
705.0,0.027561288213229673
715.0,0.02639470042539844
725.0,0.025238003252507066
735.0,0.024238615613964433
745.0,0.02360665212709151
755.0,0.02350526816968051
765.0,0.023687206640095188
775.0,0.02305782128407131
785.0,0.020438495221070416
795.0,0.01670374242997385
805.0,0.014129494773372208
815.0,0.012916447891551074
825.0,0.011923458295459564
835.0,0.010752506392395946
845.0,0.009561474780004634
855.0,0.008521855844582897
865.0,0.0076346488343048005
875.0,0.006834900561221104
885.0,0.006111587234578647
895.0,0.005485763454303513
905.0,0.004959156332290542
915.0,0.004517716252389674
925.0,0.004145772769275277
935.0,0.0038310374639225404
945.0,0.0035645545410903155
955.0,0.003338802860856791
965.0,0.003147287260407011
975.0,0.0029849443160820037
985.0,0.002847824512548013
995.0,0.0027324911249267158
1005.0,0.0026358153788830804
1015.0,0.0025549523694047916
1025.0,0.002487444538465232
1035.0,0.0024312673748129857
1045.0,0.002384763549778385
1055.0,0.0023465124402503763
1065.0,0.002315274535315071
1075.0,0.0022899885875186615
1085.0,0.002269756878315989
1095.0,0.002253857854751337
1105.0,0.002241734125538845
1115.0,0.0022329835191550102
1125.0,0.002227253845458324
1135.0,0.0022241922706076733
1145.0,0.0022235354633061005
1155.0,0.0022251259225903436
1165.0,0.002228847165227751
1175.0,0.0022345571437724933
1185.0,0.002242068178376519
1195.0,0.002251143861363813
1205.0,0.0022614772232715415
1215.0,0.0022727157047738636
1225.0,0.002284501838526142
1235.0,0.0022965201798935144
1245.0,0.0023084917208517908
1255.0,0.002320127072359451
1265.0,0.002331122809434346
1275.0,0.0023411992147074415
1285.0,0.0023501383989965683
1295.0,0.0023577841717406455
1305.0,0.0023640246996282466
1315.0,0.0023687808015765903
1325.0,0.002372013909458743
1335.0,0.0023737314682132004
1345.0,0.0023739874699965687
1355.0,0.0023728706942502003
1365.0,0.002370482091764282
1375.0,0.002366914843016422
1385.0,0.0023622581511120837
1395.0,0.00235662700737333
1405.0,0.0023501804087473956
1415.0,0.002343093870565005
1425.0,0.002335492039042895
1435.0,0.0023274054946288572
1445.0,0.0023187904828509665
1455.0,0.0023095851988584647
1465.0,0.002299746424554302
1475.0,0.002289243206495457
1485.0,0.0022780362025837694
1495.0,0.0022660633847271018
1505.0,0.00225324892735692
1515.0,0.0022395273163501213
1525.0,0.0022248654210836787
1535.0,0.002209266216038507
1545.0,0.002192757969361585
1555.0,0.002175394488087325
1565.0,0.0021572743168738646
1575.0,0.0021385611051031087
1585.0,0.002119492750283808
1595.0,0.002100376419807684
1605.0,0.002081569395559295
1615.0,0.0020634388466288225
1625.0,0.002046312326421276
1635.0,0.002030440650795686
1645.0,0.0020159856364079633
1655.0,0.002003027809621426
1665.0,0.001991586281801462
1675.0,0.001981645288136345
1685.0,0.001973182284364996
1695.0,0.0019661859532058845
1705.0,0.0019606571714384
1715.0,0.001956597728054591
1725.0,0.0019540066864213728
1735.0,0.0019528934813620048
1745.0,0.0019533053050413566
1755.0,0.0019553565347744943
1765.0,0.0019592522827383938
1775.0,0.001965287933349486
1785.0,0.001973804158940146
1795.0,0.001985105085834312
1805.0,0.00199938190882023
1815.0,0.002016690971346493
1825.0,0.0020370123059194503
1835.0,0.002060378965079713
1845.0,0.0020869752318500552
1855.0,0.00211700934413437
1865.0,0.0021502440135641714
1875.0,0.0021855023258919607
1885.0,0.002220853750071245
1895.0,0.0022541049943169567
1905.0,0.002280964126109255
1915.0,0.0022953566391661346
