z,uw
5.0,-0.016601030229485846
15.0,-0.06569744190928256
25.0,-0.08164572504543303
35.0,-0.08683268950644532
45.0,-0.0873746709926314
55.0,-0.08638497837172723
65.0,-0.08467882230255419
75.0,-0.08279067566646828
85.0,-0.0808293564664038
95.0,-0.07886807359354157
105.0,-0.07691926480430004
115.0,-0.075006228983869
125.0,-0.07314276957334884
135.0,-0.07130857141833066
145.0,-0.06950802577059181
155.0,-0.0677360046054348
165.0,-0.06600026954125916
175.0,-0.06428980527488776
185.0,-0.06260702581155791
195.0,-0.0609502088755595
205.0,-0.05933518081770586
215.0,-0.057747658866501926
225.0,-0.05616698703152442
235.0,-0.05460129028396646
245.0,-0.05304864131335569
255.0,-0.05150720585817275
265.0,-0.049983146939598065
275.0,-0.04848771289265138
285.0,-0.04701255850203664
295.0,-0.0455573159660545
305.0,-0.04411860968182781
315.0,-0.04268900983850596
325.0,-0.04127097936978301
335.0,-0.039863934524147805
345.0,-0.03846685394283937
355.0,-0.037082451848768586
365.0,-0.0357236505741152
375.0,-0.03438379008464596
385.0,-0.03306269042372739
395.0,-0.031761456119380915
405.0,-0.030486648821911096
415.0,-0.02924358055348063
425.0,-0.028018479885680122
435.0,-0.02680757942818432
445.0,-0.0256197440396646
455.0,-0.02444865558102139
465.0,-0.023292331253138347
475.0,-0.02214732837365852
485.0,-0.02101155006918749
495.0,-0.019878662760173034
505.0,-0.018754436942505264
515.0,-0.017643116494466746
525.0,-0.016547373816568272
535.0,-0.015473023834112183
545.0,-0.014427403539062928
555.0,-0.013410992422666274
565.0,-0.01242328468723762
575.0,-0.011458290678186822
585.0,-0.010514447357093002
595.0,-0.009591706925197925
605.0,-0.008693860758812101
615.0,-0.0078348030705573
625.0,-0.007010259636868942
635.0,-0.006228770251911527
645.0,-0.005477265776990938
655.0,-0.004755875089554241
665.0,-0.0040636104074248695
675.0,-0.003394326546805062
685.0,-0.0027457248003255417
695.0,-0.00212767480652627
705.0,-0.0015537691010923602
715.0,-0.0010413348228549698
725.0,-0.0005951453903913663
735.0,-0.0002238578374824967
745.0,4.2141010672478196e-05
755.0,0.00016657765019011673
765.0,0.0001324005046878977
775.0,-3.810940552866396e-05
785.0,-0.00023479042890055466
795.0,-0.0003138654295718161
805.0,-0.0002880062595168619
815.0,-0.00022383225686604672
825.0,-0.00014220660258849386
835.0,-7.356692578727035e-05
845.0,-3.405999693277549e-05
855.0,-2.4347820538792646e-05
865.0,-3.2063702606282265e-05
875.0,-4.512574337968393e-05
885.0,-5.510868852718605e-05
895.0,-6.0370674625352245e-05
905.0,-6.418931059043747e-05
915.0,-6.686773615129503e-05
925.0,-6.845362303778933e-05
935.0,-6.935344096766597e-05
945.0,-6.983211942832883e-05
955.0,-6.99269318000338e-05
965.0,-6.964212429794633e-05
975.0,-6.904023328161937e-05
985.0,-6.823088089868184e-05
995.0,-6.732888970941109e-05
1005.0,-6.640119773299736e-05
1015.0,-6.548308236906808e-05
1025.0,-6.46094870621804e-05
1035.0,-6.381248654153938e-05
1045.0,-6.309265227635161e-05
1055.0,-6.243061822128124e-05
1065.0,-6.176397575322667e-05
1075.0,-6.106516345496857e-05
1085.0,-6.0310362244735724e-05
1095.0,-5.94929831513064e-05
1105.0,-5.8606111320923475e-05
1115.0,-5.763301954267222e-05
1125.0,-5.6561857135708685e-05
1135.0,-5.541012310358123e-05
1145.0,-5.420507280052591e-05
1155.0,-5.2983659004025345e-05
1165.0,-5.176847693697076e-05
1175.0,-5.0568710873752456e-05
1185.0,-4.937018888280008e-05
1195.0,-4.815756325900635e-05
1205.0,-4.6932211690544425e-05
1215.0,-4.571463665785651e-05
1225.0,-4.4531067026800774e-05
1235.0,-4.340030844538155e-05
1245.0,-4.232861514626391e-05
1255.0,-4.131263101611291e-05
1265.0,-4.0345697243773854e-05
1275.0,-3.9417465909288396e-05
1285.0,-3.851216041829444e-05
1295.0,-3.762377683406769e-05
1305.0,-3.6756982405191734e-05
1315.0,-3.59239243604652e-05
1325.0,-3.514185860639919e-05
1335.0,-3.442489608193098e-05
1345.0,-3.377867131730089e-05
1355.0,-3.320443974921205e-05
1365.0,-3.26981617898203e-05
1375.0,-3.225365304693525e-05
1385.0,-3.186129004852724e-05
1395.0,-3.151381503950345e-05
1405.0,-3.1209850678759977e-05
1415.0,-3.095141398005849e-05
1425.0,-3.0739140632181205e-05
1435.0,-3.0570294973948486e-05
1445.0,-3.0438557048649082e-05
1455.0,-3.0343317751073504e-05
1465.0,-3.029336960525415e-05
1475.0,-3.030295863951165e-05
1485.0,-3.038449417343609e-05
1495.0,-3.054059264422679e-05
1505.0,-3.0758671027171036e-05
1515.0,-3.101022118745675e-05
1525.0,-3.125490762356844e-05
1535.0,-3.1448921651240665e-05
1545.0,-3.1550687640613004e-05
1555.0,-3.152572543953462e-05
1565.0,-3.134774912843784e-05
1575.0,-3.1002013067341174e-05
1585.0,-3.048560292919893e-05
1595.0,-2.9806150255636708e-05
1605.0,-2.8976647391224144e-05
1615.0,-2.800895003684018e-05
1625.0,-2.6909319000946812e-05
1635.0,-2.5676119665295525e-05
1645.0,-2.4301622779237983e-05
1655.0,-2.277685921863004e-05
1665.0,-2.1098643174953137e-05
1675.0,-1.927664247345283e-05
1685.0,-1.7337126810922887e-05
1695.0,-1.5319785013099596e-05
1705.0,-1.3269707256520838e-05
1715.0,-1.122660033563813e-05
1725.0,-9.220215774335057e-06
1735.0,-7.271791442194566e-06
1745.0,-5.398454957003e-06
1755.0,-3.6173398277386964e-06
1765.0,-1.947244431420551e-06
1775.0,-4.0858621476085006e-07
1785.0,9.77566909802321e-07
1795.0,2.191748439073379e-06
1805.0,3.2189238799550937e-06
1815.0,4.049840432232155e-06
1825.0,4.678459582700413e-06
1835.0,5.09824023297243e-06
1845.0,5.299994923755066e-06
1855.0,5.271337508691391e-06
1865.0,4.996136248259425e-06
1875.0,4.464240637917582e-06
1885.0,3.6960325479927424e-06
1895.0,2.75265620404068e-06
1905.0,1.697263595378988e-06
1915.0,5.743749600429673e-07
