X,Y
2.56036,0.444890
3.40281,0.415928
3.78357,0.339873
4.20694,0.269065
4.70030,0.229653
5.15120,0.203931
5.98160,0.193699
6.91247,0.176838
7.87348,0.135095
9.27594,0.110830
11.2489,0.0953478
12.0344,0.0860201
13.1889,0.0731298
14.5942,0.0716963
15.5382,0.0636659
21.4628,0.0514098
25.2859,0.0445799
28.9405,0.0388107
31.2613,0.0362842
35.4362,0.0319660
40.5579,0.0270685
44.0221,0.0243239
49.6612,0.0201934
56.0226,0.0162416
61.3969,0.0136447
69.2616,0.0106323
79.2720,0.00783818
86.4588,0.00615626
97.0648,0.00457450
107.407,0.00352247
121.751,0.00264870
135.375,0.00208034
152.716,0.00153363
174.788,0.00112168
189.717,0.000880991
