y,x
0,1.39903
0.0138809,1.38448
0.0138809,1.36605
-0.0138809,1.34035
0.0138809,1.31465
-0.0138809,1.28944
0.0277617,1.26616
0.0138809,1.24094
-0.0138809,1.21476
0,1.18227
0,1.15074
0,1.12310
0.0138809,1.09789
0.0971660,1.06879
0.555234,1.03921
1.29092,1.02272
1.91093,1.00979
2.55870,0.998799
3.03065,0.992980
3.65992,0.984575
4.39098,0.975199
5.06651,0.966147
5.68652,0.958711
6.61191,0.945780
7.45402,0.934465
8.29612,0.920887
9.11047,0.905692
10.0359,0.887911
11.3869,0.855906
12.5437,0.815171
13.7652,0.757949
14.4500,0.714629
15.0700,0.672278
15.6715,0.627341
16.2637,0.581757
16.8837,0.531324
17.5223,0.474749
17.9294,0.440480
18.5494,0.386491
19.0029,0.345110
19.4933,0.296940
19.9653,0.253943
20.3910,0.216118
20.7704,0.181526
21.1776,0.142409
21.5385,0.108463
21.9549,0.0745180
22.2233,0.0515645
22.4824,0.0337836
22.6304,0.0205288
22.7785,0.00371782
